Model,HUB Perplexity,HUB WER,Parameters
quadgram,510.3827221044141,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.37000000000000016
quadgram,518.4972529548739,0.06506180871828236,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.38000000000000017
quadgram,528.3691841675669,0.06506180871828236,Lambda1: 0.35 Lambda2: 0.18000000000000002 Lambda3: 0.3900000000000002
quadgram,491.3470389733645,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.2
quadgram,488.9838482531207,0.06896551724137931,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.21000000000000002
quadgram,487.04353831470013,0.06961613532856213,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.22000000000000003
quadgram,485.52095092707526,0.07156798959011061,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.23000000000000004
quadgram,484.4157970589181,0.07221860767729343,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.24000000000000005
quadgram,483.73274221045875,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.25000000000000006
quadgram,483.4816827590202,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.26000000000000006
quadgram,483.6782371503596,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.2700000000000001
quadgram,484.3444947484483,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.2800000000000001
quadgram,485.51009044405134,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.2900000000000001
quadgram,487.21370911707584,0.06896551724137931,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.3000000000000001
quadgram,489.5051778038087,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.3100000000000001
quadgram,492.44838682651266,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.3200000000000001
quadgram,496.12541506536724,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.3300000000000001
quadgram,500.6424570554055,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.34000000000000014
quadgram,506.1385330201794,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.35000000000000014
quadgram,512.7986512352861,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.36000000000000015
quadgram,520.8743869747764,0.06506180871828236,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.37000000000000016
quadgram,530.7174162148149,0.06506180871828236,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.38000000000000017
quadgram,542.8370075044005,0.0631099544567339,Lambda1: 0.35 Lambda2: 0.19000000000000003 Lambda3: 0.3900000000000002
quadgram,493.5251685095064,0.06896551724137931,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.2
quadgram,491.35334766163214,0.06961613532856213,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.21000000000000002
quadgram,489.62111031553053,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.22000000000000003
quadgram,488.32566309744607,0.06961613532856213,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.23000000000000004
quadgram,487.4695728530967,0.07091737150292778,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.24000000000000005
quadgram,487.06097222805437,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.25000000000000006
quadgram,487.1139963362909,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.26000000000000006
quadgram,487.64948975754766,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.2700000000000001
quadgram,488.6960494918515,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.2800000000000001
quadgram,490.29150634220747,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.2900000000000001
quadgram,492.4850016690904,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.3000000000000001
quadgram,495.33990055872516,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.3100000000000001
quadgram,498.9379171602458,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.3200000000000001
quadgram,503.3850515148551,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.3300000000000001
quadgram,508.82032227151984,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.34000000000000014
quadgram,515.4289707603899,0.06571242680546518,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.35000000000000014
quadgram,523.4631118930744,0.06506180871828236,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.36000000000000015
quadgram,533.2753914014603,0.06506180871828236,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.37000000000000016
quadgram,545.3766955912345,0.06441119063109954,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.38000000000000017
quadgram,560.5415897344827,0.06180871828236825,Lambda1: 0.35 Lambda2: 0.20000000000000004 Lambda3: 0.3900000000000002
quadgram,496.05256717857907,0.06896551724137931,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.2
quadgram,494.08656774378056,0.06896551724137931,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.21000000000000002
quadgram,492.57962939257953,0.06961613532856213,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.22000000000000003
quadgram,491.53179910064387,0.06961613532856213,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.23000000000000004
quadgram,490.94910372889336,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.24000000000000005
quadgram,490.84391581774696,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.25000000000000006
quadgram,491.2356064423642,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.21000000000000005 Lambda3: 0.26000000000000006
